player_id,name,position,team,conference,top_prospect,year
2e6ad3ab-fa2e-406f-9f8c-fb8efed6aeca,Chase Young,DE,Buckeyes Ohio State,Big Ten,Yes,2020
302d00f9-f13a-46bd-9a96-e5fdc60044ec,JaMycal Hasty,RB,Bears Baylor,Big 12,No,2020
32965c7d-bc1c-44c3-bfc3-0c9a0cc1e895,Kendrick Rogers,WR,Aggies Texas A&M,SEC,No,2020
368a6260-8c48-4d22-82a3-ca0fc04e1740,Calvin Throckmorton,OL,Ducks Oregon,Pac-12,No,2020
36a9efec-d67d-4015-a555-aaa8d2089582,Jeff Gladney,CB,Horned Frogs TCU,Big 12,Yes,2020
37e91fbb-d130-492b-a169-d9295b127291,Robert Landers,DL,Buckeyes Ohio State,Big Ten,No,2020
3905e438-3bcc-4e35-ab7e-a1fdc2784bb9,Tyler Biadasz,OL,Badgers Wisconsin,Big Ten,Yes,2020
3ed4c782-a438-4632-a663-75fd55165db1,Chapelle Russell,LB,Owls Temple,American Athletic,No,2020
3fced08b-703f-4fd8-a1a0-1dfb08eeb64c,David Dowell,SAF,Spartans Michigan State,Big Ten,No,2020
418622b3-798b-4382-a3b7-05aa04261bea,DeeJay Dallas,RB,Hurricanes Miami (FL),ACC,No,2020
7a0fd7a4-d5c0-4792-b6dd-1c912c26be41,Danny Pinter,OL,Cardinals Ball State,Mid-American,No,2020
7c27347a-9c8a-4346-994c-1aa4d8f59b02,Davion Taylor,OLB,Buffaloes Colorado,Pac-12,No,2020
7ebf8032-3c19-4a99-a7eb-bfee7abd3652,Javin White,LB,Rebels UNLV,Mountain West,No,2020
7fc79d18-b6f3-4cc3-98b6-6a14fbfa172c,Dante Olson,LB,Grizzlies Montana,Big Sky,No,2020
84a5cfca-6592-4727-a05c-e3ad9674f5b7,Jake Bentley,QB,Utes Utah,Pac-12,No,2020
8991b2bc-49d3-4a9b-b9a2-dd5d974f25d5,Derrick Brown,DT,Tigers Auburn,SEC,Yes,2020
8cf20749-c8d6-4aa8-84a5-c276657292ae,Derrek Tuszka,DE,Bison North Dakota State,Missouri Valley,No,2020
8d329cf5-1176-4e53-aaee-1faef3395de3,Stephen Sullivan,TE,Tigers LSU,SEC,No,2020
8bf99735-320e-452a-8a48-ce9d73b3d1af,Frederick Mauigoa,OL,Cougars Washington State,Pac-12,No,2020
8b1def70-27ae-4147-92c2-6ed1aa6c5712,Justin Herron,OL,Demon Deacons Wake Forest,ACC,No,2020
8f837cb9-a579-449e-8fdc-0d9c00ae60d4,Cassh Maluia,LB,Cowboys Wyoming,Mountain West,No,2020
92a22273-0361-47a9-8429-c1e1bd2087d8,Patrick Taylor Jr.,RB,Tigers Memphis,American Athletic,No,2020
9398fe17-7863-4910-ae4c-14237a25617c,Blake Barnett,QB,Bulls South Florida,American Athletic,No,2020
05e98d19-11e0-40fd-a62b-6f4dfb3e9add,Antonio Gibson,WR,Tigers Memphis,American Athletic,No,2020
0c88aef8-0220-4166-8bf0-e4b74c6af381,Elijah Riley,DB,Black Knights Army,IA Independents,No,2020
06fd47fe-93d3-4ac9-a857-5adbe1fdb4ec,Neville Gallimore,DL,Sooners Oklahoma,Big 12,Yes,2020
069c17cd-b360-47ba-9911-d38d43ffc97f,John Simpson,OL,Tigers Clemson,ACC,Yes,2020
0ccd3d07-24cb-4556-8966-f617f006471c,Patrick Queen,LB,Tigers LSU,SEC,Yes,2020
0f0132ae-43f7-4d50-8fbd-9b9a66d5ada4,Reggie Corbin,RB,Fighting Illini Illinois,Big Ten,No,2020
14342b5d-c096-44c6-b169-bfc83b136a73,Donovan Peoples-Jones,WR,Wolverines Michigan,Big Ten,Yes,2020
13d4669e-2d82-4044-9fa0-03973a2f136a,Hunter Bryant,TE,Huskies Washington,Pac-12,Yes,2020
16688daa-9634-4791-8233-71d400994f53,Tommy Townsend,P,Gators Florida,SEC,No,2020
1aa2b790-36cb-4afb-96a8-82b216d638b4,Robert Windsor,DT,Nittany Lions Penn State,Big Ten,No,2020
1b1e6365-faf7-472e-b720-8219335ac5fc,Zack Baun,OLB,Badgers Wisconsin,Big Ten,Yes,2020
1d1b6fdf-4af0-4f35-9d9d-8ced2dc9acb4,Jalen Reagor,WR,Horned Frogs TCU,Big 12,Yes,2020
675ac030-346e-419c-ae92-0399e257801f,Sterling Hofrichter,K/P,Orange Syracuse,ACC,No,2020
68955eda-e072-4275-824e-417627308ab3,Austin Jackson,OT,Trojans USC,Pac-12,Yes,2020
6b688b66-dd33-48a0-8907-76ad1855e8c0,Nate Stanley,QB,Hawkeyes Iowa,Big Ten,No,2020
6e8bd3fe-0e36-40cd-913d-154a90b5bdfe,Jacob Breeland,TE,Ducks Oregon,Pac-12,No,2020
6ec9a5f3-0100-4b9e-bae6-e8f4cdbba075,Josh Uche,LB,Wolverines Michigan,Big Ten,Yes,2020
6fa368d8-8a6a-45c1-a917-71f33dbc9312,Zack Moss,RB,Utes Utah,Pac-12,Yes,2020
722a9773-7329-4584-99c8-2c075eb399c4,Essang Bassey,DB,Demon Deacons Wake Forest,ACC,No,2020
72bbaba4-049a-46ca-a8f1-3ad8fd731373,Moe Neal,RB,Orange Syracuse,ACC,No,2020
7090bfde-36f0-41ed-88f7-d62886fbf496,Justin Jefferson,WR,Tigers LSU,SEC,Yes,2020
76423d5d-a9c2-4629-9adf-82e43fb3417c,Sage Lewis,LB,Golden Panthers Florida International,Conference USA,No,2020
75854521-5c5a-428f-8f96-23be2ed2cbc9,Trevon Diggs,DB,Crimson Tide Alabama,SEC,Yes,2020
748c7574-6874-43e3-b10d-e68e6156f658,Yetur Gross-Matos,DE,Nittany Lions Penn State,Big Ten,Yes,2020
7755a688-c81a-4f44-8df7-5a69901f6f78,Justin Strnad,LB,Demon Deacons Wake Forest,ACC,No,2020
776d1b3e-d142-44f2-92e3-8b9a9232e334,Shaquille Quarterman,LB,Hurricanes Miami (FL),ACC,No,2020
2231c7ca-fa72-422b-917f-cadab40f05c5,Devin Asiasi,TE,Bruins UCLA,Pac-12,No,2020
229e2217-cf77-431c-ae09-b899dd2d9a93,Chris Claybrooks,DB,Tigers Memphis,American Athletic,No,2020
25418e7b-f4dd-44b0-afbc-189c31f64017,Reggie Walker,DE,Wildcats Kansas State,Big 12,No,2020
26bded1f-65cf-4af5-8a51-5a31f3de391a,Javelin Guidry,DB,Utes Utah,Pac-12,No,2020
66135654-6e84-4c0c-9ca8-64e48b461aad,Van Jefferson,WR,Gators Florida,SEC,No,2020
673fd76d-f6ad-4f66-a01e-8a8b5134192e,Austin Mack,WR,Buckeyes Ohio State,Big Ten,No,2020
032c669c-78f4-482d-8237-dad91a264747,Michael Onwenu,OL,Wolverines Michigan,Big Ten,No,2020
04e66fbb-46ea-463c-af53-551772d23312,Tremayne Anchrum,OT,Tigers Clemson,ACC,No,2020
8b835288-8e28-4760-b20d-a5996b6c747a,Trevon McSwain,DT,Blue Devils Duke,ACC,No,2020
645d26af-47be-41e7-a764-5e2413446c4e,Darrynton Evans,RB,Mountaineers Appalachian State,Sun Belt,No,2020
cc751a34-0a10-40be-bf03-f1cabde7f16b,Isaiah Hodgins,WR,Beavers Oregon State,Pac-12,No,2020
